,vendor,product_line,product,MD5,DSM,url,downloaded,exception_e
13,Synology,NAS,DS109+,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x000000010274528c chromedriver + 455308
6   chromedriver                        0x000000010277894b chromedriver + 665931
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x0000000102772685 chromedriver + 640645
9   chromedriver                        0x000000010279fe5e chromedriver + 826974
10  chromedriver                        0x00000001027b8134 chromedriver + 926004
11  chromedriver                        0x000000010279fb33 chromedriver + 826163
12  chromedriver                        0x00000001027709fd chromedriver + 633341
13  chromedriver                        0x0000000102772051 chromedriver + 639057
14  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
15  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
16  chromedriver                        0x0000000102b376df chromedriver + 4593375
17  chromedriver                        0x0000000102b308fa chromedriver + 4565242
18  chromedriver                        0x0000000102b062cf chromedriver + 4391631
19  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
20  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
21  chromedriver                        0x0000000102b6581e chromedriver + 4782110
22  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
14,Synology,NAS,DS109,2cc778092ceb3098fee9758ed12bee3e,DSM 4.2,https://www.synology.com/en-global/support/download/DS109#system,NotImplemented,
15,Synology,NAS,DS109j,46b751a76e9d9a89a7a4eaae8da81f9f,DSM 4.2,https://www.synology.com/en-global/support/download/DS109j#system,NotImplemented,
16,Synology,NAS,DS108j,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x0000000102745c8e chromedriver + 457870
6   chromedriver                        0x00000001027b8d9a chromedriver + 929178
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x00000001027b8134 chromedriver + 926004
9   chromedriver                        0x000000010279fb33 chromedriver + 826163
10  chromedriver                        0x00000001027709fd chromedriver + 633341
11  chromedriver                        0x0000000102772051 chromedriver + 639057
12  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
13  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
14  chromedriver                        0x0000000102b376df chromedriver + 4593375
15  chromedriver                        0x0000000102b308fa chromedriver + 4565242
16  chromedriver                        0x0000000102b062cf chromedriver + 4391631
17  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
18  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
19  chromedriver                        0x0000000102b6581e chromedriver + 4782110
20  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
21  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
17,Synology,NAS,DS107+,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x000000010274528c chromedriver + 455308
6   chromedriver                        0x000000010277894b chromedriver + 665931
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x0000000102772685 chromedriver + 640645
9   chromedriver                        0x000000010279fe5e chromedriver + 826974
10  chromedriver                        0x00000001027b8134 chromedriver + 926004
11  chromedriver                        0x000000010279fb33 chromedriver + 826163
12  chromedriver                        0x00000001027709fd chromedriver + 633341
13  chromedriver                        0x0000000102772051 chromedriver + 639057
14  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
15  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
16  chromedriver                        0x0000000102b376df chromedriver + 4593375
17  chromedriver                        0x0000000102b308fa chromedriver + 4565242
18  chromedriver                        0x0000000102b062cf chromedriver + 4391631
19  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
20  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
21  chromedriver                        0x0000000102b6581e chromedriver + 4782110
22  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
18,Synology,NAS,DS107,49abbd2cdde80998b305df7eb79fe5c9,DSM 3.1,https://www.synology.com/en-global/support/download/DS107#system,NotImplemented,
19,Synology,NAS,DS107e,78dcd90a01f0d073f1ec25af95d90d14,DSM 3.1,https://www.synology.com/en-global/support/download/DS107e#system,NotImplemented,
20,Synology,NAS,DS-106,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x000000010274528c chromedriver + 455308
6   chromedriver                        0x000000010277894b chromedriver + 665931
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x0000000102772685 chromedriver + 640645
9   chromedriver                        0x000000010279fe5e chromedriver + 826974
10  chromedriver                        0x00000001027b8134 chromedriver + 926004
11  chromedriver                        0x000000010279fb33 chromedriver + 826163
12  chromedriver                        0x00000001027709fd chromedriver + 633341
13  chromedriver                        0x0000000102772051 chromedriver + 639057
14  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
15  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
16  chromedriver                        0x0000000102b376df chromedriver + 4593375
17  chromedriver                        0x0000000102b308fa chromedriver + 4565242
18  chromedriver                        0x0000000102b062cf chromedriver + 4391631
19  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
20  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
21  chromedriver                        0x0000000102b6581e chromedriver + 4782110
22  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
21,Synology,NAS,DS-106j,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x000000010274528c chromedriver + 455308
6   chromedriver                        0x000000010277894b chromedriver + 665931
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x0000000102772685 chromedriver + 640645
9   chromedriver                        0x000000010279fe5e chromedriver + 826974
10  chromedriver                        0x00000001027b8134 chromedriver + 926004
11  chromedriver                        0x000000010279fb33 chromedriver + 826163
12  chromedriver                        0x00000001027709fd chromedriver + 633341
13  chromedriver                        0x0000000102772051 chromedriver + 639057
14  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
15  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
16  chromedriver                        0x0000000102b376df chromedriver + 4593375
17  chromedriver                        0x0000000102b308fa chromedriver + 4565242
18  chromedriver                        0x0000000102b062cf chromedriver + 4391631
19  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
20  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
21  chromedriver                        0x0000000102b6581e chromedriver + 4782110
22  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
22,Synology,NAS,DS-106e,,,,NotImplemented,"Message: stale element reference: element is not attached to the page document
  (Session info: headless chrome=107.0.5304.87)
Stacktrace:
0   chromedriver                        0x0000000102b5e2c8 chromedriver + 4752072
1   chromedriver                        0x0000000102ade463 chromedriver + 4228195
2   chromedriver                        0x0000000102741b18 chromedriver + 441112
3   chromedriver                        0x00000001027450d7 chromedriver + 454871
4   chromedriver                        0x0000000102744f50 chromedriver + 454480
5   chromedriver                        0x000000010274528c chromedriver + 455308
6   chromedriver                        0x000000010277894b chromedriver + 665931
7   chromedriver                        0x000000010279fd02 chromedriver + 826626
8   chromedriver                        0x0000000102772685 chromedriver + 640645
9   chromedriver                        0x000000010279fe5e chromedriver + 826974
10  chromedriver                        0x00000001027b8134 chromedriver + 926004
11  chromedriver                        0x000000010279fb33 chromedriver + 826163
12  chromedriver                        0x00000001027709fd chromedriver + 633341
13  chromedriver                        0x0000000102772051 chromedriver + 639057
14  chromedriver                        0x0000000102b2b30e chromedriver + 4543246
15  chromedriver                        0x0000000102b2fa88 chromedriver + 4561544
16  chromedriver                        0x0000000102b376df chromedriver + 4593375
17  chromedriver                        0x0000000102b308fa chromedriver + 4565242
18  chromedriver                        0x0000000102b062cf chromedriver + 4391631
19  chromedriver                        0x0000000102b4f5b8 chromedriver + 4691384
20  chromedriver                        0x0000000102b4f739 chromedriver + 4691769
21  chromedriver                        0x0000000102b6581e chromedriver + 4782110
22  libsystem_pthread.dylib             0x00007ff80efee259 _pthread_start + 125
23  libsystem_pthread.dylib             0x00007ff80efe9c7b thread_start + 15
"
